N°Ins,Réf_Cours,examen,rattrapage,Conference,seminaire,TD,TP,stage,Projet,autre_Ctl,Moy_CC,Moy_Module,Aquit,Option,ratt,exclu_matière,scholar year
14010696450,Mecaq,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,Elect,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,ARCH,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,AN,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,P-S,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,L-M,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,ANG,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,ITM,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,Algo2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,B-D,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,T-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696450,G-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,ARCH,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,ALGO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,P-S,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,L-M,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,Algo2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,B-D,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,T-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696456,P-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,Th_Gr,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,SYS E,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,crypt,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,DIG,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,I G C,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796545,APRC,7,9.5,,,,13,,,,3.0,10.90,false,false,true,false,2011
14010796545,BDA,5,0.5,,,,13,,,,0.0,8.20,false,false,false,false,2011
14010796545,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796545,GEE,8,10.5,,,,,,,,2.5,10.50,false,true,true,false,2011
14010796545,ANGP,10,,,,,,,,,2.5,10.00,false,false,false,false,2011
14010796545,TAI,11,,,,12.25,13.5,,,,4.5,11.75,false,false,false,false,2011
14010796545,VART,4.5,11,,,13,12,,,,4.5,11.60,false,false,true,false,2011
14010796545,MMT,5,7,,,14.75,,,,,4.0,10.10,false,false,true,false,2011
14010796567,ARPS,6.25,12.25,,,,9.83,,,,3.5,11.28,false,false,true,false,2011
14010796567,RSF,2.2,13.75,,,,12.5,,,,3.0,13.25,false,false,true,false,2011
14010796567,DSE,7.5,11,,,12,,,,,3.5,11.40,false,false,true,false,2011
14010796567,AGRO,13,,,,11.5,,,,,2.5,12.40,false,false,false,false,2011
14010796567,OROP,8.25,10,,,8,,,,,0.0,9.20,false,false,true,false,2011
14010696459,Comp,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,RES,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,P_Log,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,PROGP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,SYS-D,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,BDD-A,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,REC-F,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696459,PFE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796567,WEBS,2.5,5,,,,10,,,,0.0,7.00,false,false,true,false,2011
14010796567,APRC,8.5,,,,,13,,,,3.0,10.30,false,false,false,false,2011
14010796567,BDA,5,0.25,,,,10.5,,,,0.0,7.20,false,false,false,false,2011
14010796567,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796567,GEE,12,,,,,,,,,2.5,12.00,false,true,false,false,2011
14010796567,ANGP,14.5,,,,,,,,,2.5,14.50,false,false,false,false,2011
14010796567,TAI,13.5,,,,15,15,,,,4.5,14.10,false,false,false,false,2011
14010796569,ARPS,8.25,,,,,11.58,,,,0.0,9.58,false,false,false,false,2011
14010796569,RSF,13.6,,,,,10,,,,3.0,12.16,false,false,false,false,2011
14010796569,DSE,4,11.5,,,11,,,,,3.5,11.30,false,false,true,false,2011
14010796569,AGRO,10,,,,11.5,,,,,2.5,10.60,false,false,false,false,2011
14010796569,OROP,9,,,,7.5,,,,,0.0,8.40,false,false,false,false,2011
14010796569,WEBS,7.75,,,,,11.5,,,,0.0,9.25,false,false,false,false,2011
14010796569,APRC,8,,,,,14,,,,3.0,10.40,false,false,false,false,2011
14010796569,BDA,6.75,,,,,13,,,,0.0,9.25,false,false,false,false,2011
14010796569,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796569,GEE,13.5,,,,,,,,,2.5,13.50,false,true,false,false,2011
14010796569,ANGP,10,,,,,,,,,2.5,10.00,false,false,false,false,2011
14010796569,TAI,14.25,,,,14.5,12.5,,,,4.5,13.95,false,false,false,false,2011
14010796586,AGR,14,,,,9,,,,,2.5,12.00,false,false,false,false,2011
14010796586,APN,14,,,,,,,,,2.5,14.00,false,false,false,false,2011
14010796586,BDD,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796586,ELE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796586,LIA,8.5,,,,16,,,,,3.5,11.50,false,false,false,false,2011
14010796586,MFO,8.5,8.5,,,,10.75,,,,0.0,9.40,false,false,false,false,2011
14010796586,MOM,5,6,,,,14,,,,0.0,9.20,false,false,true,false,2011
14010796586,ORO,,8,,,6.5,,,,,0.0,7.40,false,false,true,false,2011
14010796586,RET,11.75,,,,,10.5,,,,2.5,11.25,false,false,false,false,2011
14010796586,SBC,1,12,,,,10,,,,3.0,11.20,false,false,true,false,2011
14010796586,SED,8,11.5,,,8,,,,,3.5,10.10,false,false,true,false,2011
14010796586,SEW,11.5,,,,13,,,,,2.5,12.10,false,true,false,false,2011
14010796586,ANGn2,14,,,,,,,,,2.5,14.00,false,false,false,false,2011
14010696474,ARCH,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696474,ALGO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696474,L-M,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696474,Algé2,,,,,10,,,,,0.0,3.40,false,false,false,false,2011
14010696481,ARPS,4.75,0,,,,9,,,,0.0,6.45,false,false,false,false,2011
14010696481,RSF,4.7,11.5,,,,10,,,,3.0,10.90,false,false,true,false,2011
14010796586,ASSL,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796586,APC,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796586,DSP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796586,MC,10,,,,,16,,,,3.0,12.40,false,true,false,false,2011
14010796586,EW,12,,,,18,,,,,2.5,14.40,false,false,false,false,2011
14010796586,OWS,8,,,,9,11.5,,,,0.0,8.90,false,false,false,false,2011
14010796586,WS,7.5,,,,12.25,11,,,,0.0,9.15,false,false,false,false,2011
14010796586,MMTS,8,,,,14.5,,,,,4.0,10.60,false,false,false,false,2011
14010796586,TAM,15.5,,,,18.75,17.5,,,,4.5,16.55,false,false,false,false,2011
14010796586,VA,12.5,,,,10.5,14.5,,,,4.5,12.50,false,false,false,false,2011
14010796594,ARPS,4.75,1,,,,13,,,,0.0,8.05,false,false,false,false,2011
14010796594,RSF,7.75,,,,,14,,,,3.0,10.25,false,false,false,false,2011
14010796594,DSE,3,12,,,15.5,,,,,3.5,13.40,false,false,true,false,2011
14010796594,AGRO,8.5,10,,,11,,,,,2.5,10.40,false,false,true,false,2011
14010796594,OROP,7,2,,,6.5,,,,,0.0,6.80,false,false,false,false,2011
14010796594,WEBS,8,,,,,15,,,,3.5,10.80,false,false,false,false,2011
14010796594,APRC,,10,,,,14,,,,3.0,11.60,false,false,true,false,2011
14010796594,BDA,3.75,3.25,,,,13,,,,0.0,7.45,false,false,false,false,2011
14010796594,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796594,GEE,12,,,,,,,,,2.5,12.00,false,true,false,false,2011
14010796594,ANGP,10,,,,,,,,,2.5,10.00,false,false,false,false,2011
14010796594,TAI,10.75,,,,17,12.5,,,,4.5,12.35,false,false,false,false,2011
14010796594,VART,4,12.5,,,13.5,13,,,,4.5,12.80,false,false,true,false,2011
14010796594,MMT,2,12,,,11.25,,,,,4.0,11.70,false,false,true,false,2011
14010796594,TFM,4,10.5,,,10,13.5,,,,6.5,11.00,false,false,true,false,2011
14010796594,TCT,1,7,,,12.5,12,,,,0.0,9.10,false,false,true,false,2011
14010796598,ARPS,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,RSF,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,DSE,0,,,,0,,,,,0.0,0.00,false,false,false,false,2011
14010796598,AGRO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,OROP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,WEBS,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,APRC,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,BDA,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696474,Info2,,,,,12.5,12,,,,0.0,6.13,false,false,false,false,2011
14010696474,Agl,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,ALGO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,AN,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,ANG,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,ARCH,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,ITM,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,L-M,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,P-S,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,SI,,,,,0,,,,,0.0,0.00,false,false,false,false,2011
14010796606,Algo2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,ANG2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,B-D,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,G-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,P-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,SD,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796606,T-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696481,DSE,4,12.5,,,6.5,,,,,3.5,10.10,false,false,true,false,2011
14010696481,AGRO,11,,,,11,,,,,2.5,11.00,false,false,false,false,2011
14010796598,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,GEE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,ANGP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796598,TAI,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796643,ARPS,10.25,,,,,12.17,,,,3.5,11.02,false,false,false,false,2011
14010796643,RSF,11.55,,,,,17,,,,3.0,13.73,false,false,false,false,2011
14010796643,DSE,7,,,,10.5,,,,,0.0,8.40,false,false,false,false,2011
14010796643,AGRO,10,,,,11,,,,,2.5,10.40,false,false,false,false,2011
14010796643,OROP,3.5,,,,7.5,,,,,0.0,5.10,false,false,false,false,2011
14010796643,WEBS,5,,,,,14,,,,0.0,8.60,false,false,false,false,2011
14010796643,APRC,10.5,,,,,13,,,,3.0,11.50,false,false,false,false,2011
14010796643,BDA,10.25,,,,,13,,,,2.5,11.35,false,false,false,false,2011
14010796643,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796643,GEE,9,,,,,,,,,0.0,9.00,false,true,false,false,2011
14010796643,ANGP,15.5,,,,,,,,,2.5,15.50,false,false,false,false,2011
14010796643,TAI,14.25,,,,13.5,17,,,,4.5,14.65,false,false,false,false,2011
14010796644,ARPS,5.75,,,,,11.33,,,,0.0,7.98,false,false,false,false,2011
14010796644,RSF,11.45,,,,,17.5,,,,3.0,13.87,false,false,false,false,2011
14010796644,DSE,9,,,,13,,,,,3.5,10.60,false,false,false,false,2011
14010796644,AGRO,13,,,,7,,,,,2.5,10.60,false,false,false,false,2011
14010796644,OROP,7,,,,7.5,,,,,0.0,7.20,false,false,false,false,2011
14010696484,ALG1,,,,,3.75,,,,,0.0,1.28,false,false,false,false,2011
14010696484,Analy,,,,,4,,,,,0.0,1.36,false,false,false,false,2011
14010696484,Mecaq,,,,,4,,,,,0.0,1.36,false,false,false,false,2011
14010696484,info,,,,,11,12,,,,0.0,5.75,false,false,false,false,2011
14010696484,Algo2,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696484,B-D,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696484,T-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696484,G-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796647,Comp,7.5,,,,5.5,11,,,,0.0,7.88,false,false,false,false,2011
14010796647,crypt,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796647,DIG,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796647,I G C,13,,,,,,,,,4.0,13.00,false,true,false,false,2011
14010796647,P_Log,10,,,,10,,,,,4.0,10.00,false,false,false,false,2011
14010796647,RES,13.25,,,,13.25,,,,,6.0,13.25,false,false,false,false,2011
14010796647,SYS E,7.25,,,,11,12,,,,0.0,9.38,false,false,false,false,2011
14010796647,Th_Gr,15.5,,,,12,,,,,4.0,14.31,false,false,false,false,2011
14010796647,BDD-A,11.01,,,,,,,,,5.0,11.01,false,true,false,false,2011
14010796647,PFE,18,,,,,,,,,20.0,18.00,false,false,false,false,2011
14010796647,PROGP,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796647,REC-F,9,,,,,,,,,0.0,9.00,false,true,false,false,2011
14010796647,SYS-D,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696481,OROP,2.5,2,,,4,,,,,0.0,3.10,false,false,false,false,2011
14010696481,WEBS,2.75,8.5,,,,9,,,,0.0,8.70,false,false,true,false,2011
14010696481,APRC,10.5,,,,,13,,,,3.0,11.50,false,false,false,false,2011
14010696481,BDA,1.5,3.25,,,,10.5,,,,0.0,6.15,false,false,true,false,2011
14010696481,TCO,2,10,,,,,,,,2.5,10.00,false,true,true,false,2011
14010696481,GEE,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696481,ANGP,16,,,,,,,,,2.5,16.00,false,false,false,false,2011
14010696481,TAI,12.25,,,,10.5,14,,,,4.5,12.25,false,false,false,false,2011
14010796644,WEBS,7.5,,,,,13.5,,,,0.0,9.90,false,false,false,false,2011
14010796644,APRC,9.5,,,,,14,,,,3.0,11.30,false,false,false,false,2011
14010796644,BDA,11,,,,,13,,,,2.5,11.80,false,false,false,false,2011
14010796644,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796644,GEE,13,,,,,,,,,2.5,13.00,false,true,false,false,2011
14010796644,ANGP,17,,,,,,,,,2.5,17.00,false,false,false,false,2011
14010796644,TAI,16.75,,,,14.25,18.75,,,,4.5,16.65,false,false,false,false,2011
14010796644,VART,11.5,,,,9.5,13,,,,4.5,11.40,false,false,false,false,2011
14010796644,MMT,3,,,,11.5,,,,,0.0,6.40,false,false,false,false,2011
14010796651,ARPS,6.5,,,,,11.5,,,,0.0,8.50,false,false,false,false,2011
14010796651,RSF,13.95,,,,,15,,,,3.0,14.37,false,false,false,false,2011
14010796651,DSE,4,10,,,12,,,,,3.5,10.80,false,false,true,false,2011
14010696492,Mecaq,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696492,ALGO,,,,,5.25,7.5,,,,0.0,3.19,false,false,false,false,2011
14010696492,Elect,,,,,2,,,,,0.0,0.68,false,false,false,false,2011
14010696492,P-S,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696492,L-M,,,,,5,,,,,0.0,1.70,false,false,false,false,2011
14010696492,ANG,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696492,ITM,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696492,Algo2,,,,,6.67,5.33,,,,0.0,3.00,false,false,false,false,2011
14010696492,T-L,,,,,9,,,,,0.0,3.06,false,false,false,false,2011
14010696492,P-L,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696492,TEC1,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696492,ALG1,,,,,9.5,,,,,0.0,3.23,false,false,false,false,2011
14010696498,MMT,3,,,,12,,,,,0.0,6.60,false,false,false,false,2011
14010696498,TFM,3.5,,,,10.25,13.5,,,,0.0,6.85,false,false,false,false,2011
14010696498,TCT,5,,,,11,12,,,,0.0,7.60,false,false,false,false,2011
14010696498,TCIP,12.5,,,,,15,,,,3.0,13.50,false,true,false,false,2011
14010696498,MICO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010696498,ASLO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796651,AGRO,10,,,,10,,,,,2.5,10.00,false,false,false,false,2011
14010796651,OROP,5.5,3.5,,,7,,,,,0.0,6.10,false,false,false,false,2011
14010796651,WEBS,3.75,7.75,,,,10.75,,,,0.0,8.95,false,false,true,false,2011
14010796651,APRC,6,9.5,,,,13,,,,3.0,10.90,false,false,true,false,2011
14010796651,BDA,6.75,9.25,,,,11.5,,,,2.5,10.15,false,false,true,false,2011
14010796651,TCO,,,,,,,,,,0.0,0.00,false,false,false,false,2011
14010796651,GEE,12,,,,,,,,,2.5,12.00,false,true,false,false,2011
