tempd_id,bac_id,student_id,bac_year,highshcool_path,bac_avg,bac_feedback
332,11/8009726,14011198524,2011,T19,10.97,Passable
336,11/8015286,14011198566,2011,T19,11.13,Passable
340,11/8014632,14011198588,2011,G13,11.99,Passable
344,12/11864,14011298851,2012,5,16.0,T.Bien
348,12/8054396,14011298861,2012,5,10.88,Passable
352,12/12298,14011298862,2012,5,15.16,Bien
356,12/12134,14011298871,2012,5,15.46,Bien
360,12/8012868,14011298877,2012,5,11.88,Passable
364,10/8013719,14011097068,2010,5,14.41,Bien
368,10/8051528,14011097517,2010,G13,13.41,A.Bien
372,91/181780,14011399236,1991,T11,11.27,Passable
376,01/801740,14011399238,2001,G05,11.41,Passable
380,05/8007504,14011399240,2005,G05,10.28,Passable
384,00/805838,14011499274,2000,G08,10.09,Passable
388,10/8013798,14011097074,2010,G18,12.3,A.Bien
392,11/8010232,14011198520,2011,G18,11.99,Passable
396,12/8008469,14011298612,2012,5,12.37,A.Bien
400,12/8011922,14011299184,2012,T24,10.28,Passable
404,04/8002741,14011599290,2004,G05,12.39,A.Bien
408,10/8008081,14011097290,2010,5,11.38,Passable
412,12/8054068,14011298614,2012,5,13.22,A.Bien
416,97/710757,14011399245,1997,G05,10.0,Passable
420,06/8009655,14011097731,2006,G16,12.11,A.Bien
424,07/8074603,14010796588,2007,G05,11.27,Passable
428,10/8008263,14011097084,2010,5,11.62,Passable
432,10/8015543,14011097086,2010,5,11.17,Passable
436,12/8009832,14011298615,2012,5,12.13,A.Bien
440,01/802313,14011399247,2001,G07,10.06,Passable
444,10/8048885,14011097514,2010,5,11.65,Passable
448,12/8009767,14011298617,2012,G13,13.12,A.Bien
452,12/8010429,14011298618,2012,5,10.98,Passable
456,00/805696,14011399249,2000,G05,10.0,Passable
460,02/801899,14011399251,2002,G05,10.22,Passable
464,97/733924,14011599305,1997,G05,12.33,A.Bien
468,10/8008532,14011097092,2010,5,12.85,A.Bien
472,10/8015512,14011097098,2010,5,12.09,A.Bien
476,12/8009484,14011298620,2012,G18,11.37,Passable
480,02/802467,14011399255,2002,G07,11.37,Passable
484,02/802815,14011599304,2002,T13,10.58,Passable
488,99/242963,14011399259,2002,G05,10.5,Passable
492,07/8018766,14010796607,2007,G07,11.94,Passable
496,10/8050335,14011097509,2010,5,12.13,A.Bien
500,10/8019853,14011097102,2010,5,10.62,Passable
504,12/8009432,14011298622,2012,G18,11.07,Passable
508,12/8009004,14011298623,2012,5,12.91,A.Bien
512,10/8050888,14011097507,2010,5,14.34,Bien
516,12/8008678,14011298624,2012,5,12.3,A.Bien
520,01/802588,14011499272,2001,G07,12.36,A.Bien
524,07/8021096,14010796618,2007,G05,10.44,Passable
528,10/8008187,14011097112,2010,5,12.49,A.Bien
532,12/800952,14011298626,2012,ca,10.02,Passable
536,12/8009115,14011298627,2012,5,10.85,Passable
540,10/8008442,14011097300,2010,5,13.3,A.Bien
544,10/8052051,14011097489,2010,5,11.87,Passable
548,12/8053842,14011298629,2012,5,12.9,A.Bien
552,04/801986,14011399261,2004,G05,10.03,Passable
556,02/803438,14011399266,2002,G05,10.39,Passable
560,10/8009820,14011097114,2010,G18,11.48,Passable
564,10/8051320,14011198541,2010,5,12.67,A.Bien
568,10/8008313,14011097118,2010,5,13.8,A.Bien
572,10/8050826,14011097480,2010,5,15.03,Bien
576,12/8014051,14011298630,2012,5,12.75,A.Bien
580,07/8016546,14010796642,2007,G05,14.35,Bien
584,10/8008565,14011097124,2010,5,11.83,Passable
588,10/800891 ,14011097126,2010,G18,13.13,A.Bien
592,12/8008757,14011298631,2012,5,12.67,A.Bien
596,07/8028687,14010796647,2007,G05,10.31,Passable
600,12/8009483,14011298633,2012,5,12.33,A.Bien
604,13/8009427,14011399264,2013,5,11.01,Passable
608,04/8003909,14011399268,2004,G05,10.96,Passable
612,10/8012611,14011097134,2010,5,12.85,A.Bien
616,10/8050381,14011097136,2010,5,11.21,Passable
620,10/8012285,14011097138,2010,N05,11.58,Passable
624,12/8008677,14011298634,2012,5,11.45,Passable
628,10/8011396,14011097140,2010,G06,12.47,A.Bien
632,10/8011395,14011097142,2010,G13,10.72,Passable
636,10/8008901,14011097144,2010,G18,13.02,A.Bien
640,12/8009445,14011298635,2012,5,10.24,Passable
644,99/807583,14011499288,1999,5,10.43,Passable
648,10/8051778,14011097496,2010,5,12.55,A.Bien
652,10/8009768,14011097150,2010,5,12.13,A.Bien
656,10/8019940,14011097152,2010,5,12.21,A.Bien
660,10/8008186,14011097154,2010,5,12.72,A.Bien
664,12/8009446,14011298636,2012,5,11.43,Passable
668,07/8015187,14010796669,2007,G05,11.57,Passable
672,07/8028771,14011599306,2007,G05,11.11,Passable
676,10/8008662,14011097156,2010,5,12.57,A.Bien
680,12/8008721,14011298637,2012,5,13.54,A.Bien
684,04/8003785,14011499276,2004,G05,10.07,Passable
688,07/8018763,14010796674,2007,G07,11.05,Passable
692,07/8013338,14010796676,2007,G05,10.54,Passable
696,10/8010404,14011097163,2010,G08,10.78,Passable
700,10/8017676,14011097313,2010,G05,11.42,Passable
704,10/8008324,14011097308,2010,5,14.1,Bien
708,08/8022072,14011097310,2010,G05,10.98,Passable
712,10/8020204,14011097312,2010,G18,13.05,A.Bien
716,10/8049082,14011097317,2010,5,13.09,A.Bien
720,08/8010798,14010896693,2008,G06,10.0,Passable
724,08/8017095,14010896694,2008,G08,10.62,Passable
728,12/8009254,14011298638,2012,5,13.3,A.Bien
732,08/8018456,14010896697,2008,G09,12.53,A.Bien
736,08/8022480,14010896698,2008,G05,10.9,Passable
740,10/8013500,14011097169,2010,5,12.06,A.Bien
744,12/8009545,14011298639,2012,5,10.87,Passable
748,02/803405,14011499283,2002,G05,10.81,Passable
752,08/8008511,14010896704,2008,G05,10.71,Passable
756,12/8009438,14011298640,2012,5,13.23,A.Bien
760,01/809318,14011599295,2001,G08,11.9,Passable
764,01/807074,14011499280,2001,G05,11.67,Passable
768,03/2054671,14011499285,2003,G07,10.14,Passable
772,09/8018512,14011097173,2010,5,11.25,Passable
776,10/8051396,14011097490,2010,5,12.14,A.Bien
780,12/8009249,14011298641,2012,5,11.86,Passable
784,12/8012605,14011298644,2012,5,10.62,Passable
788,12/8017037,14011299188,2012,G13,11.67,Passable
792,08/7070564,14010896712,2008,G05,11.42,Passable
796,08/8021929,14010896713,2008,G05,10.46,Passable
800,08/8015662,14010896714,2008,G07,10.15,Passable
804,12/8009474,14011298645,2012,G18,10.36,Passable
808,08/8012671,14010896715,2008,G05,10.85,Passable
812,08/8011144,14010896716,2008,G05,12.57,A.Bien
816,10/8008589,14011097177,2010,5,11.37,Passable
820,11/8014621,14011197861,2011,G13,12.43,A.Bien
824,12/8054345,14011298647,2012,5,12.86,A.Bien
828,08/8010641,14010896726,2008,G04,10.76,Passable
832,10/8015688,14011097179,2010,G13,12.76,A.Bien
836,12/8056872,14011298649,2012,5,12.0,A.Bien
840,02/803459,14011499286,2002,5,10.3,Passable
844,08/8013484,14011599300,2008,G06,10.9,Passable
848,08/8011927,14010896732,2008,G05,11.14,Passable
852,10/8010288,14011097181,2010,5,12.87,A.Bien
856,09/8016952,14011097609,2009,5,10.8,Passable
860,12/8009141,14011298650,2012,5,11.33,Passable
864,12/8009128,14011298651,2012,5,12.63,A.Bien
868,12/8009687,14011298652,2012,5,11.23,Passable
872,12/8014209,14011298653,2012,5,11.14,Passable
876,12/8056815,14011298654,2012,5,10.86,Passable
880,12/8056763,14011298655,2012,5,11.63,Passable
884,12/8008417,14011298656,2012,5,13.06,A.Bien
888,12/8008519,14011298657,2012,5,12.35,A.Bien
892,12/8054146,14011298659,2012,5,12.29,A.Bien
896,07/8014111,14010896752,2007,G05,12.06,A.Bien
900,08/8061493,14010896754,2008,G05,10.46,Passable
904,08/8062943,14010896755,2008,G05,10.4,Passable
908,08/8061899,14010896756,2008,G05,10.84,Passable
912,08/8021708,14010896757,2008,G05,11.93,Passable
916,12/8054225,14011298660,2012,5,10.43,Passable
920,12/8008868,14011298661,2012,5,11.4,Passable
924,08/100826,14010896767,2008,G05,10.0,Passable
928,08/8014838,14010896770,2008,G05,11.34,Passable
932,07/8014175,14010896774,2007,G05,11.28,Passable
936,08/7069940,14010896775,2008,G05,12.73,A.Bien
940,12/8009479,14011298662,2012,5,10.69,Passable
944,12/8054242,14011298663,2012,5,10.24,Passable
948,08/8015633,14010896777,2008,G08,10.63,Passable
952,08/0000000,14011599303,2008,G05,12.0,A.Bien
956,08/000000,14011599299,2008,G05,10.0,Passable
960,08/0000000,14010896785,2008,G03,10.0,Passable
964,08/8062615,14010896786,2008,G05,12.15,A.Bien
968,10/8020210,14011097191,2010,5,13.21,A.Bien
972,11/8048252,14011198465,2011,5,13.17,A.Bien
976,08/8013393,14010896788,2008,G05,10.25,Passable
980,12/8054264,14011298664,2012,5,11.72,Passable
984,08/8010581,14010896792,2008,G05,14.28,Bien
988,08/8016848,14010896793,2008,G05,11.65,Passable
992,08/8011746,14010896796,2008,G04,11.42,Passable
996,08/8062948,14010896800,2008,G05,10.78,Passable
1000,08/8015496,14010896801,2008,G05,11.36,Passable
1004,12/8009538,14011298665,2012,5,12.11,A.Bien
1008,08/8061130,14010896805,2008,G05,13.3,A.Bien
1012,10/8010310,14011097197,2010,5,11.82,Passable
1016,08/8013410,14010896807,2008,G05,12.69,A.Bien
1020,08/8061283,14010896808,2008,G07,10.05,Passable
1024,08/8011124,14010896810,2008,G05,12.53,Assez bien
1028,08/8011648,14010896811,2008,G04,12.49,A.Bien
1032,12/8008502,14011298667,2012,5,12.45,A.Bien
1036,08/8012278,14010896812,2008,G05,12.57,A.Bien
1040,08/8014472,14010896815,2008,G05,13.35,A.Bien
1044,08/8021626,14010896817,2008,G05,12.24,A.Bien
1048,12/8009489,14011298668,2012,5,10.6,Passable
1052,08/8012796,14010896819,2008,G05,10.18,Passable
1056,08/8061524,14010896820,2008,G05,10.8,Passable
1060,08/8010729,14010896823,2008,G07,12.08,A.Bien
1064,12/8009139,14011298669,2012,5,12.58,A.Bien
1068,08/8008250,14010896826,2008,G05,11.65,Passable
1072,08/8010538,14010896828,2008,G05,12.9,A.Bien
1076,10/8014634,14011097201,2010,5,12.67,A.Bien
1080,08/8014860,14010896829,2008,G05,12.37,A.Bien
1084,08/8008430,14010896833,2008,G05,10.6,Passable
1088,12/8009490,14011298670,2012,5,11.26,Passable
1092,12/8012691,14011298671,2012,5,12.15,A.Bien
1096,08/8010324,14010896840,2008,G05,12.91,A.Bien
1100,08/8016991,14010896842,2008,G05,13.48,A.Bien
1104,08/8021959,14010896846,2008,G05,12.2,A.Bien
1108,08/8060406,14010896848,2008,G05,12.65,A.Bien
1112,08/8012701,14010896850,2008,G05,11.17,Passable
1116,08/8058216,14010896851,2008,G05,11.06,Passable
1120,08/8059611,14010896853,2008,G05,12.97,A.Bien
1124,08/8060407,14010896856,2008,G05,12.86,A.Bien
1128,10/8008155,14011097203,2010,5,13.34,A.Bien
1132,09/8010098,14011097205,2009,5,12.14,A.Bien
1136,12/8008939,14011298672,2012,5,12.94,A.Bien
1140,12/8009743,14011298673,2012,5,10.7,Passable
1144,09/8008253,14010996865,2009,G08,10.61,Passable
1148,09/8008899,14010996868,2009,G10,10.69,Passable
1152,12/8056762,14011298675,2012,5,10.89,Passable
1156,12/8013324,14011298677,2012,5,12.92,A.Bien
1160,09/8008283,14010996870,2009,G08,11.74,Passable
1164,09/8016010,14010996871,2009,G05,10.71,Passable
1168,09/8045009,14011097488,2009,5,10.45,Passable
1172,08/1211845,14010996873,2008,G11,12.8,A.Bien
1176,09/8011670,14010996876,2009,G11,11.8,Passable
1180,09/8046732,14010996879,2009,G05,11.65,Passable
1184,09/8008282,14010996881,2009,G08,12.52,A.Bien
1188,05/8016223,14010996883,2005,G05,10.68,Passable
1192,09/8012533,14010996884,2009,G11,11.02,Passable
1196,09/8007872,14010996885,2009,5,10.54,Passable
1200,09/8011900,14010996887,2008,G05,11.38,Passable
1204,09/8011755,14010996890,2009,G11,12.0,A.Bien
1208,09/8008190,14010996891,2009,G10,12.11,A.Bien
1212,12/8008839,14011298678,2012,5,12.44,A.Bien
1216,09/8013068,14010996893,2009,5,10.31,Passable
1220,12/8009906,14011298679,2012,5,10.54,Passable
1224,12/8021665,14011298680,2012,5,11.27,Passable
1228,09/8008836,14010996907,2009,5,10.73,Passable
1232,12/8057209,14011298682,2012,5,13.64,A.Bien
1236,12/8009822,14011298683,2012,5,12.6,A.Bien
1240,09/8018459,14010996909,2009,G11,10.47,Passable
1244,09/8008311,14010996910,2009,G07,10.34,Passable
1248,09/8013056,14010996911,2009,5,10.0,Passable
1252,09/8042483,14010996912,2009,G11,10.76,Passable
1256,09/8046798,14010996913,2009,G05,10.13,Passable
1260,09/801485,14010996918,2009,G11,12.11,A.Bien
1264,11/8013445,14011197863,2011,G18,12.63,A.Bien
1268,11/8048648,14011298684,2011,T19,11.66,Passable
1272,09/8012636,14010996919,2009,G07,10.56,Passable
1276,09/8010014,14010996920,2009,G11,11.29,Passable
1280,09/8016427,14010996922,2009,G05,11.11,Passable
1284,09/8011761,14010996926,2009,G11,12.01,A.Bien
1288,09/8044341,14010996927,2009,G08,11.48,Passable
1292,09/8009358,14010996928,2009,G08,10.48,Passable
1296,12/8009433,14011298685,2012,5,11.19,Passable
1300,12/8008427,14011298686,2012,5,13.95,A.Bien
1304,09/8016893,14010996932,2009,G05,12.3,A.Bien
1308,12/8009423,14011298687,2012,5,10.55,Passable
1312,12/8009589,14011298688,2012,5,12.82,A.Bien
1316,12/8009540,14011298689,2012,5,13.08,A.Bien
1320,09/8012424,14010996935,2009,G11,10.88,Passable
1324,09/8046919,14010996936,2009,G05,10.5,Passable
1328,12/8009022,14011298690,2012,5,12.44,A.Bien
1332,09/8046697,14011097506,2009,G05,10.07,Passable
1336,09/8010020,14010996942,2009,G05,10.35,Passable
1340,09/8008290,14010996944,2009,G07,10.94,Passable
1344,09/8046819,14010996945,2009,G05,10.27,Passable
1348,09/8008217,14011599296,2009,G08,10.66,Passable
1352,09/8010778,14010996949,2009,5,11.78,Passable
1356,12/8008999,14011298691,2012,5,13.06,A.Bien
1360,09/8016993,14010996951,2009,G05,12.92,A.Bien
1364,09/8016863,14010996956,2009,G05,10.29,Passable
1368,09/8008006,14011198519,2009,5,10.57,Passable
1372,09/8018631,14010996958,2009,5,11.23,Passable
1376,09/8046698,14010996959,2009,G05,11.06,Passable
1380,12/8008330,14011298692,2012,5,12.73,A.Bien
1384,09/8046909,14010996960,2009,G05,10.1,Passable
1388,09/8043873,14010996961,2009,G07,11.14,Passable
1392,12/8009047,14011298693,2012,5,10.9,Passable
1396,09/8008812,14010996965,2009,5,10.13,Passable
1400,09/8007659,14010996969,2009,G11,11.01,Passable
1404,12/8014004,14011298694,2012,5,12.31,A.Bien
1408,12/8009360,14011298695,2012,5,11.19,Passable
1412,09/8008085,14010996974,2009,G11,11.2,Passable
1416,12/8054131,14011298696,2012,5,13.42,A.Bien
1420,09/8012519,14010996976,2009,G11,10.05,Passable
1424,09/8013118,14010996978,2009,5,11.19,Passable
1428,09/8046949,14010996979,2009,G05,11.52,Passable
1432,12/8009392,14011298697,2012,5,12.61,A.Bien
1436,06/8009162,14010996985,2006,G05,11.48,Passable
1440,06/8008759,14010996986,2006,G05,11.26,Passable
1444,06/8009170,14010996987,2006,G05,11.09,Passable
1448,05/8002542,14010996988,2005,G05,11.91,Passable
1452,06/8009203,14010996989,2006,G05,12.45,A.Bien
1456,06/8022801,14010996990,2006,G05,10.34,Passable
1460,06/8011748,14010996991,2006,G05,10.87,Passable
1464,06/8009070,14010996992,2006,G05,12.77,A.Bien
1468,06/8015829,14010996993,2006,G05,12.22,A.Bien
1472,06/8009634,14010996994,2006,G05,10.89,Passable
1476,06/8061572,14010996996,2006,G05,12.15,A.Bien
1480,12/8012917,14011298698,2012,5,11.5,Passable
1484,06/8009301,14010996997,2006,G05,12.09,A.Bien
1488,06/8009040,14010996999,2006,G05,12.24,A.Bien
1492,04/8004610,14010997000,2004,G05,12.39,A.Bien
1496,06/8064317,14010997001,2006,G05,10.82,Passable
1500,06/8018545,14010997002,2006,G05,11.25,Passable
1504,06/8008956,14010997003,2006,G05,12.55,A.Bien
1508,06/,14010997004,2006,G05,10.41,Passable
1512,06/8008094,14010997006,2006,G05,11.15,Passable
1516,06/8011659,14010997007,2006,G05,10.75,Passable
1520,06/802259,14010997009,2006,G05,10.81,Passable
1524,06/8009441,14010997010,2006,G05,10.75,Passable
1528,06/8021989,14010997011,2006,G05,10.4,Passable
1532,12/8021287,14011298699,2012,5,10.94,Passable
1536,12/8009464,14011298700,2012,5,10.39,Passable
1540,06/8008918,14010997013,2006,G05,11.45,Passable
1544,06/8012761,14010997014,2006,G05,11.57,Passable
1548,06/8008835,14010997015,2006,G05,11.31,Passable
1552,06/8013961,14010997016,2006,G05,11.64,Passable
1556,06/8008803,14010997018,2006,G05,12.95,A.Bien
1560,06/1075,14010997020,2006,G05,12.79,A.Bien
1564,06/1927,14010997022,2006,G05,14.12,Bien
1568,06/8009265,14010997023,2006,G05,11.32,Passable
1572,06/8009417,14010997024,2006,G05,11.0,Passable
1576,12/8012572,14011298701,2012,5,11.78,Passable
1580,07/8061574,14010997025,2007,G05,11.85,Passable
1584,03/2073615,14010997027,2003,G05,10.82,Passable
1588,09/8044348,14010997029,2009,G08,10.49,Passable
1592,12/8015805,14011298702,2012,5,11.16,Passable
1596,12/8011831,14011298703,2012,5,12.27,A.Bien
1600,06/8013733,14010997030,2006,G05,11.27,Passable
1604,06/8013916,14010997031,2006,G05,12.23,A.Bien
1608,09/7050878,14010997034,2009,G06,11.38,Passable
1612,08/8008188,14010997035,2008,G05,11.35,Passable
1616,09/8010218,14010997036,2009,G06,10.06,Passable
1620,09/8010223,14010997037,2009,G05,10.44,Passable
1624,07/8013450,14010997038,2007,G05,10.78,Passable
1628,09/8046958,14010997039,2009,G05,10.92,Passable
1632,09/8016011,14010997043,2009,G05,10.39,Passable
1636,09/8042510,14010997044,2009,5,11.22,Passable
1640,09/8012638,14010997045,2009,G07,10.79,Passable
1644,08/8010688,14010997046,2008,G08,10.52,Passable
1648,12/8054980,14011298704,2012,5,12.64,A.Bien
1652,06/9075409,14010997051,2006,G05,11.22,Passable
1656,08/8062723,14010997053,2008,G10,13.92,A.Bien
1660,07/8013409,14010997056,2007,G05,10.4,Passable
1664,05/8003886,14010997057,2005,G05,12.9,A.Bien
1668,10/8011367,14011097209,2010,G07,11.45,Passable
1672,06/8022960,14010997058,2006,G05,11.35,Passable
1676,09/8010161,14010997060,2009,G07,11.72,Passable
1680,07/8017309,14010997062,2007,G05,11.5,Passable
1684,12/8009444,14011298705,2012,5,13.02,A.Bien
1688,10/8012115,14011097211,2010,5,11.2,Passable
1692,12/8009458,14011298706,2012,5,10.19,Passable
1696,12/8016297,14011298707,2012,5,12.15,A.Bien
1700,06/8009504,14010696406,2006,G05,11.15,Bien
1704,11/8008243,14011197795,2011,5,12.45,A.Bien
1708,12/8008414,14011298709,2012,5,12.13,A.Bien
1712,12/8009448,14011298710,2012,5,10.18,Passable
1716,06/8009464,14010696407,2006,G05,11.71,Passable
1720,06/8022553,14010696408,2006,G05,11.68,Passable
1724,06/8009162,14010696409,2006,G05,11.48,Passable
1728,06/8009632,14010696410,2006,G05,11.7,Assez bien
1732,06/8013936,14010696411,2006,G05,10.52,Passable
1736,06/8009655,14010696412,2006,G05,12.11,Assez bien
1740,06/8224130,14010696413,2006,G05,11.29,Passable
1744,06/8061335,14010696414,2006,G05,11.41,Passable
1748,06/8009170,14010696415,2006,G05,11.09,Passable
1752,06/8009486,14010696416,2006,G05,12.2,Assez bien
1756,06/8009040,14010696417,2006,G05,12.24,Assez bien
1760,05/8002542,14010696418,2005,G05,11.93,Passable
1764,06/8061256,14010696419,2006,G05,11.92,Passable
1768,06/8021954,14010696420,2006,G05,11.46,Passable
1772,06/8012741,14010696421,2006,G05,10.99,Passable
1776,06/8014003,14010696422,2006,G05,10.61,Passable
1780,06/8018439,14010696423,2006,G05,10.52,Passable
1784,10/8008893,14011097215,2010,G18,13.95,A.Bien
1788,10/8013807,14011097217,2010,G18,11.96,Passable
1792,10/8013621,14011097222,2010,5,12.76,A.Bien
1796,06/8016061,14010696449,2006,G05,11.54,Passable
1800,10/8015615,14011097224,2010,G08,12.54,A.Bien
1804,10/8015478,14011097226,2010,5,10.28,Passable
1808,12/8009644,14011298711,2012,5,13.04,A.Bien
1812,10/8013720,14011097228,2010,5,14.26,Bien
1816,10/8008109,14011097230,2010,5,14.22,Bien
1820,10/8049084,14011097487,2010,5,12.25,A.Bien
1824,12/8009297,14011298712,2012,5,10.55,Passable
1828,12/8014214,14011298713,2012,5,11.53,Passable
1832,10/8014794,14011097234,2010,5,11.9,Passable
1836,12/8009807,14011298715,2012,5,10.19,Passable
1840,11/1043170,14011299186,2012,G18,12.63,A.Bien
1844,12/8009517,14011298716,2012,5,10.79,Passable
1848,10/8051367,14011097495,2010,5,11.1,Passable
1852,10/8008929,14011097246,2010,G18,13.75,A.Bien
1856,12/8020595,14011298718,2012,5,12.48,A.Bien
1860,06/8009258,14010696529,2006,G05,10.64,Passable
1864,10/8008211,14011097252,2010,5,10.88,Passable
1868,10/8015571,14011097254,2010,5,10.88,Passable
1872,10/8010309,14011097258,2010,5,10.25,Passable
1876,05/8009211,14010796554,2005,T13,11.91,Passable
1880,10/8011996,14011097262,2010,5,10.07,Passable
1884,12/8009639,14011298720,2012,5,10.04,Passable
1888,12/8009182,14011298721,2012,5,13.39,A.Bien
1892,02/809316,14011599301,2002,G06,10.8,Passable
1896,10/8008102,14011097264,2010,5,13.42,A.Bien
1900,10/8008602,14011097268,2010,5,13.89,A.Bien
1904,10/8015574,14011097270,2010,5,11.43,Passable
1908,10/8052043,14011097320,2010,5,13.22,A.Bien
1912,10/8048981,14011097322,2010,5,12.08,A.Bien
1916,10/8014587,14011097610,2010,5,10.96,Passable
1920,12/8009425,14011298722,2012,5,12.47,A.Bien
1924,10/8002248,14011097326,2010,N05,12.26,A.Bien
1928,10/8048987,14011097328,2010,5,11.04,Passable
1932,10/8049087,14011097334,2010,5,12.17,A.Bien
1936,12/8056654,14011298724,2012,5,12.35,A.Bien
1940,10/8010451,14011097342,2010,N05,12.66,A.Bien
1944,10/8051376,14011097337,2010,5,12.19,A.Bien
1948,10/8015689,14011097341,2010,G13,13.27,A.Bien
1952,12/8010597,14011298725,2012,5,11.44,Passable
1956,10/8012177,14011097345,2010,5,11.75,Passable
1960,10/8011196,14011097348,2010,5,11.04,Passable
1964,10/8008309,14011097349,2010,5,10.1,Passable
1968,10/8008721,14011097350,2010,5,12.88,A.Bien
1972,12/8021618,14011298726,2012,5,14.14,Bien
1976,12/8008479,14011298727,2012,5,13.97,A.Bien
1980,10/8008763,14011097357,2010,5,13.95,A.Bien
1984,10/8014861,14011097359,2010,G18,11.38,Passable
1988,10/8051381,14011097503,2010,5,11.84,Passable
1992,10/8050336,14011097500,2010,5,13.83,A.Bien
1996,10/8009676,14011097499,2010,5,16.16,T.Bien
2000,12/8054310,14011298728,2012,5,10.93,Passable
2004,10/8008391,14011097368,2010,5,14.39,Bien
2008,10/8011949,14011097369,2010,5,12.92,A.Bien
