temps_id,student_id,birthday,gender,nationnality
361,14011097068,Tue Aug 04 00:00:00 CEST 1992,F,Algérienne
365,14011097517,Sat Feb 03 00:00:00 CET 1990,F,Algérienne
369,14011399236,Fri May 12 00:00:00 CET 1972,M,Algérienne
373,14011399238,Mon Jun 16 00:00:00 CEST 1980,F,Algérienne
377,14011399240,Fri Nov 13 00:00:00 CET 1987,F,Algérienne
381,14011499274,Sun Apr 25 00:00:00 CEST 1982,M,Algérienne
385,14011097074,Wed Jul 11 00:00:00 CEST 1990,M,Algérienne
389,14011198520,Fri Aug 28 00:00:00 CEST 1992,F,Algérienne
393,14011298612,Wed Feb 05 00:00:00 CET 1992,M,Algérienne
397,14011299184,Sun Aug 11 00:00:00 CEST 1991,M,Algérienne
401,14011599290,Mon Nov 14 00:00:00 CET 1983,F,Algérienne
405,14011097290,Sat May 04 00:00:00 CEST 1991,M,Algérienne
409,14011298614,Tue Aug 24 00:00:00 CEST 1993,F,Algérienne
413,14011399245,Thu Aug 03 00:00:00 CET 1978,M,Algérienne
417,14011097731,Sat Nov 21 00:00:00 CET 1987,F,Algérienne
421,14010796588,Sat Aug 06 00:00:00 CEST 1988,F,Algérienne
425,14011097084,Mon Mar 27 00:00:00 CEST 1989,F,Algérienne
429,14011097086,Fri Mar 01 00:00:00 CET 1991,M,Algérienne
433,14011298615,Fri Feb 25 00:00:00 CET 1994,F,Algérienne
437,14011399247,Tue Jan 26 00:00:00 CET 1982,F,Algérienne
441,14011097514,Wed Jun 26 00:00:00 CEST 1991,M,Algérienne
445,14011298617,Thu Sep 09 00:00:00 CEST 1993,F,Algérienne
449,14011298618,Mon Oct 21 00:00:00 CET 1991,F,Algérienne
453,14011399249,Sun May 10 00:00:00 CEST 1981,M,Algérienne
457,14011399251,Tue Feb 09 00:00:00 CET 1982,F,Algérienne
461,14011599305,Sat Aug 26 00:00:00 CET 1978,M,Algérienne
465,14011097092,Fri Jun 28 00:00:00 CEST 1991,M,Algérienne
469,14011097098,Mon Apr 01 00:00:00 CEST 1991,F,Algérienne
473,14011298620,Thu Jan 07 00:00:00 CET 1993,F,Algérienne
477,14011399255,Tue Mar 22 00:00:00 CET 1983,M,Algérienne
481,14011599304,Tue Dec 21 00:00:00 CET 1982,F,Algérienne
485,14011399259,Sun May 25 00:00:00 CEST 1980,F,Algérienne
489,14010796607,Sat Jul 30 00:00:00 CEST 1988,F,Algérienne
493,14011097509,Fri Nov 23 00:00:00 CET 1990,F,Algérienne
497,14011097102,Mon Apr 20 00:00:00 CEST 1992,F,Algérienne
501,14011298622,Sun Nov 08 00:00:00 CET 1992,F,Algérienne
505,14011298623,Sat Jul 18 00:00:00 CEST 1992,F,Algérienne
509,14011097507,Fri May 10 00:00:00 CEST 1991,F,Algérienne
513,14011298624,Sat Mar 19 00:00:00 CET 1994,M,Algérienne
517,14011499272,Tue Oct 20 00:00:00 CET 1981,M,Algérienne
521,14010796618,Sun Sep 21 00:00:00 CEST 1986,F,Algérienne
525,14011097112,Sat Nov 02 00:00:00 CET 1991,M,Algérienne
529,14011298626,Mon Jun 07 00:00:00 CEST 1993,M,Algérienne
533,14011298627,Tue Jul 13 00:00:00 CEST 1993,M,Algérienne
537,14011097300,Tue Jun 25 00:00:00 CEST 1991,M,Algérienne
541,14011097489,Tue Aug 27 00:00:00 CEST 1991,M,Algérienne
545,14011298629,Mon Jun 14 00:00:00 CEST 1993,F,Algérienne
549,14011399261,Mon May 16 00:00:00 CEST 1983,M,Algérienne
553,14011399266,Thu May 12 00:00:00 CEST 1983,M,Algérienne
557,14011097114,Wed May 15 00:00:00 CEST 1991,F,Algérienne
561,14011198541,Mon Apr 01 00:00:00 CEST 1991,M,Algérienne
565,14011097118,Sun Dec 22 00:00:00 CET 1991,F,Algérienne
569,14011097480,Sat Dec 14 00:00:00 CET 1991,F,Algérienne
573,14011298630,Mon Feb 28 00:00:00 CET 1994,F,Algérienne
577,14010796642,Sun Apr 16 00:00:00 CEST 1989,M,Algérienne
581,14011097124,Thu Sep 12 00:00:00 CEST 1991,F,Algérienne
585,14011097126,Thu Apr 02 00:00:00 CEST 1992,M,Algérienne
589,14011298631,Thu Mar 10 00:00:00 CET 1994,F,Algérienne
593,14010796647,Mon May 25 00:00:00 CEST 1987,M,Algérienne
597,14011298633,Wed May 12 00:00:00 CEST 1993,F,Algérienne
601,14011399264,Tue Apr 23 00:00:00 CEST 1991,M,Algérienne
605,14011399268,Sun Oct 16 00:00:00 CET 1983,F,Algérienne
609,14011097134,Sun Jun 24 00:00:00 CEST 1990,M,Algérienne
613,14011097136,Sat Jun 22 00:00:00 CEST 1991,M,Algérienne
617,14011097138,Thu Dec 06 00:00:00 CET 1990,M,Algérienne
621,14011298634,Mon Sep 28 00:00:00 CET 1992,F,Algérienne
625,14011097140,Sat Aug 11 00:00:00 CEST 1990,M,Algérienne
629,14011097142,Tue Jan 16 00:00:00 CET 1990,M,Algérienne
633,14011097144,Sun Oct 08 00:00:00 CET 1989,M,Algérienne
637,14011298635,Sun Sep 19 00:00:00 CEST 1993,F,Algérienne
641,14011499288,Tue Mar 11 00:00:00 CET 1980,F,Algérienne
645,14011097496,Sat Feb 16 00:00:00 CET 1991,M,Algérienne
649,14011097150,Wed Jan 11 00:00:00 CET 1989,M,Algérienne
653,14011097152,Fri Jun 15 00:00:00 CEST 1990,M,Algérienne
657,14011097154,Sun Jul 28 00:00:00 CEST 1991,M,Algérienne
661,14011298636,Fri Jan 15 00:00:00 CET 1993,F,Algérienne
665,14010796669,Wed Jun 20 00:00:00 CEST 1990,F,Algérienne
669,14011599306,Wed May 21 00:00:00 CEST 1980,M,Algérienne
673,14011097156,Thu Mar 15 00:00:00 CET 1990,M,Algérienne
677,14011298637,Thu Jan 20 00:00:00 CET 1994,F,Algérienne
681,14011499276,Sat Jun 08 00:00:00 CEST 1985,M,Algérienne
685,14010796674,Mon Jul 24 00:00:00 CEST 1989,M,Algérienne
689,14010796676,Fri Apr 10 00:00:00 CEST 1987,M,Algérienne
693,14011097163,Tue Jan 07 00:00:00 CET 1992,M,Algérienne
697,14011097313,Tue Jul 26 00:00:00 CEST 1988,M,Algérienne
701,14011097308,Sun Sep 17 00:00:00 CEST 1989,M,Algérienne
705,14011097310,Tue Sep 26 00:00:00 CET 1989,M,Algérienne
709,14011097312,Thu May 24 00:00:00 CEST 1990,M,Algérienne
713,14011097317,Sat Mar 23 00:00:00 CET 1991,F,Algérienne
717,14010896693,Sun Jan 15 00:00:00 CET 1989,F,Algérienne
721,14010896694,Thu Jan 01 00:00:00 CET 1987,M,Algérienne
725,14011298638,Wed Jan 20 00:00:00 CET 1993,F,Algérienne
729,14010896697,Thu Jun 21 00:00:00 CEST 1990,F,Algérienne
733,14010896698,Sat Nov 09 00:00:00 CET 1985,M,Algérienne
737,14011097169,Sat Nov 18 00:00:00 CET 1989,M,Algérienne
741,14011298639,Sun Feb 09 00:00:00 CET 1992,M,Algérienne
745,14011499283,Sat Feb 09 00:00:00 CET 1985,M,Algérienne
749,14010896704,Mon Aug 01 00:00:00 CEST 1983,F,Algérienne
753,14011298640,Mon Apr 19 00:00:00 CEST 1993,F,Algérienne
757,14011599295,Tue May 08 00:00:00 CET 1979,M,Algérienne
761,14011499280,Sat Jan 01 00:00:00 CET 1983,F,Algérienne
765,14011499285,Sat Dec 01 00:00:00 CET 1984,M,Algérienne
769,14011097173,Sun Jul 21 00:00:00 CEST 1991,M,Algérienne
773,14011097490,Sun Jan 01 00:00:00 CET 1989,M,Algérienne
777,14011298641,Sat Apr 23 00:00:00 CEST 1994,F,Algérienne
781,14011298644,Thu Jan 02 00:00:00 CET 1992,M,Algérienne
785,14011299188,Thu Aug 12 00:00:00 CEST 1993,M,Algérienne
789,14010896712,Tue Jul 12 00:00:00 CEST 1988,F,Algérienne
793,14010896713,Thu Dec 04 00:00:00 CET 1986,F,Algérienne
797,14010896714,Sat Aug 04 00:00:00 CEST 1984,F,Algérienne
801,14011298645,Thu Jun 23 00:00:00 CEST 1994,M,Algérienne
805,14010896715,Sun Jan 07 00:00:00 CET 1990,F,Algérienne
809,14010896716,Fri Nov 20 00:00:00 CET 1987,F,Algérienne
813,14011097177,Sun Mar 29 00:00:00 CET 1992,M,Algérienne
817,14011197861,Fri Feb 05 00:00:00 CET 1993,F,Algérienne
821,14011298647,Fri Feb 21 00:00:00 CET 1992,M,Algérienne
825,14010896726,Wed Nov 07 00:00:00 CET 1990,F,Algérienne
829,14011097179,Wed Feb 21 00:00:00 CET 1990,M,Algérienne
833,14011298649,Tue Oct 22 00:00:00 CET 1991,F,Algérienne
837,14011499286,Tue Dec 25 00:00:00 CET 1984,M,Algérienne
841,14011599300,Mon May 14 00:00:00 CEST 1990,M,Algérienne
845,14010896732,Sun May 07 00:00:00 CEST 1989,F,Algérienne
849,14011097181,Wed Dec 11 00:00:00 CET 1991,F,Algérienne
853,14011097609,Sun Oct 18 00:00:00 CET 1981,M,Algérienne
857,14011298650,Tue Sep 28 00:00:00 CET 1993,M,Algérienne
861,14011298651,Thu Mar 24 00:00:00 CET 1994,M,Algérienne
865,14011298652,Thu Jan 30 00:00:00 CET 1992,M,Algérienne
869,14011298653,Tue Feb 04 00:00:00 CET 1992,F,Algérienne
873,14011298654,Wed Nov 07 00:00:00 CET 1990,F,Algérienne
877,14011298655,Sat Jul 31 00:00:00 CEST 1993,F,Algérienne
881,14011298656,Fri Jan 01 00:00:00 CET 1993,F,Algérienne
885,14011298657,Mon Aug 10 00:00:00 CEST 1992,F,Algérienne
889,14011298659,Sat Aug 01 00:00:00 CEST 1992,F,Algérienne
893,14010896752,Tue Jul 18 00:00:00 CEST 1989,F,Algérienne
897,14010896754,Fri Nov 04 00:00:00 CET 1988,F,Algérienne
901,14010896755,Wed Apr 06 00:00:00 CEST 1988,F,Algérienne
905,14010896756,Sun Aug 12 00:00:00 CEST 1990,F,Algérienne
909,14010896757,Mon Mar 05 00:00:00 CET 1990,M,Algérienne
913,14011298660,Wed Aug 25 00:00:00 CEST 1993,M,Algérienne
917,14011298661,Wed Apr 14 00:00:00 CEST 1993,M,Algérienne
921,14010896767,Mon Jul 30 00:00:00 CEST 1990,M,ABIDJAN 
925,14010896770,Sat Jun 16 00:00:00 CEST 1990,F,Algérienne
929,14010896774,Sun Jun 17 00:00:00 CEST 1990,F,Algérienne
933,14010896775,Sat Jun 23 00:00:00 CEST 1990,F,Algérienne
937,14011298662,Tue May 18 00:00:00 CEST 1993,F,Algérienne
941,14011298663,Sat Feb 27 00:00:00 CET 1993,M,Algérienne
945,14010896777,Wed Mar 04 00:00:00 CET 1987,M,Algérienne
949,14011599303,Mon Aug 05 00:00:00 CEST 1991,M,MALIENNE
953,14011599299,Sat Jul 09 00:00:00 CEST 1988,M,CONGO
957,14010896785,Mon Oct 03 00:00:00 CET 1988,F,Algérienne
961,14010896786,Tue Nov 14 00:00:00 CET 1989,M,Algérienne
965,14011097191,Fri Dec 13 00:00:00 CET 1991,F,Algérienne
969,14011198465,Thu Oct 29 00:00:00 CET 1992,F,Algérienne
973,14010896788,Tue May 17 00:00:00 CEST 1988,M,Algérienne
977,14011298664,Tue Jan 19 00:00:00 CET 1993,M,Algérienne
981,14010896792,Sat Nov 24 00:00:00 CET 1990,F,Algérienne
985,14010896793,Sun May 07 00:00:00 CEST 1989,M,Algérienne
989,14010896796,Wed Jan 31 00:00:00 CET 1990,M,Algérienne
993,14010896800,Fri Jan 19 00:00:00 CET 1990,M,Algérienne
997,14010896801,Mon Jan 23 00:00:00 CET 1989,F,Algérienne
1001,14011298665,Fri Oct 01 00:00:00 CET 1993,F,Algérienne
1005,14010896805,Fri Jan 18 00:00:00 CET 1991,F,Algérienne
1009,14011097197,Sat Nov 04 00:00:00 CET 1989,F,Algérienne
1013,14010896807,Thu Jan 17 00:00:00 CET 1991,F,Algérienne
1017,14010896808,Sat Feb 17 00:00:00 CET 1990,F,Algérienne
1021,14010896810,Thu Jun 21 00:00:00 CEST 1990,F,Algérienne
1025,14010896811,Tue Feb 13 00:00:00 CET 1990,F,Algérienne
1029,14011298667,Sat Jan 08 00:00:00 CET 1994,M,Algérienne
1033,14010896812,Mon Feb 26 00:00:00 CET 1990,M,Algérienne
1037,14010896815,Thu Mar 22 00:00:00 CET 1990,F,Algérienne
1041,14010896817,Sat Aug 08 00:00:00 CEST 1987,M,Algérienne
1045,14011298668,Thu Nov 26 00:00:00 CET 1992,F,Algérienne
1049,14010896819,Mon May 25 00:00:00 CEST 1987,M,Algérienne
1053,14010896820,Tue Mar 07 00:00:00 CET 1989,M,Algérienne
1057,14010896823,Tue Apr 03 00:00:00 CEST 1990,M,Algérienne
1061,14011298669,Wed Aug 04 00:00:00 CEST 1993,M,Algérienne
1065,14010896826,Sat Jan 07 00:00:00 CET 1989,M,Algérienne
1069,14010896828,Thu Jul 05 00:00:00 CEST 1990,F,Algérienne
1073,14011097201,Mon Apr 20 00:00:00 CEST 1992,F,Algérienne
1077,14010896829,Sat Aug 26 00:00:00 CEST 1989,F,Algérienne
1081,14010896833,Wed Oct 26 00:00:00 CET 1988,M,Algérienne
1085,14011298670,Sat Jul 25 00:00:00 CEST 1992,M,Algérienne
1089,14011298671,Sat Nov 14 00:00:00 CET 1992,M,Algérienne
1093,14010896840,Wed Jul 05 00:00:00 CEST 1989,M,Algérienne
1097,14010896842,Sun Jan 14 00:00:00 CET 1990,F,Algérienne
1101,14010896846,Mon May 23 00:00:00 CEST 1983,M,Algérienne
1105,14010896848,Tue Jul 09 00:00:00 CEST 1991,F,Algérienne
1109,14010896850,Sun May 08 00:00:00 CEST 1988,M,Algérienne
1113,14010896851,Sun Jun 19 00:00:00 CEST 1988,M,Algérienne
1117,14010896853,Sat Nov 09 00:00:00 CET 1991,F,Algérienne
1121,14010896856,Sat Jan 06 00:00:00 CET 1990,F,Algérienne
1125,14011097203,Thu Mar 21 00:00:00 CET 1991,F,Algérienne
1129,14011097205,Mon Oct 29 00:00:00 CET 1990,F,Algérienne
1133,14011298672,Mon Dec 06 00:00:00 CET 1993,M,Algérienne
1137,14011298673,Mon Jun 17 00:00:00 CEST 1991,F,Algérienne
1141,14010996865,Sun Nov 05 00:00:00 CET 1989,M,Algérienne
1145,14010996868,Mon Dec 11 00:00:00 CET 1989,M,Algérienne
1149,14011298675,Sun Jan 02 00:00:00 CET 1994,F,Algérienne
1153,14011298677,Sat Jan 16 00:00:00 CET 1993,M,Algérienne
1157,14010996870,Thu Dec 29 00:00:00 CET 1988,M,Algérienne
1161,14010996871,Thu Jul 13 00:00:00 CEST 1989,M,Algérienne
1165,14011097488,Wed Mar 02 00:00:00 CET 1988,F,Algérienne
1169,14010996873,Thu Dec 07 00:00:00 CET 1989,M,IVOIRIENNE
1173,14010996876,Thu Oct 19 00:00:00 CET 1989,F,Algérienne
1177,14010996879,Thu Mar 05 00:00:00 CET 1981,M,Algérienne
1181,14010996881,Tue Nov 15 00:00:00 CET 1988,M,Algérienne
1185,14010996883,Tue Dec 04 00:00:00 CET 1984,F,Algérienne
1189,14010996884,Sat Mar 09 00:00:00 CET 1991,M,Algérienne
1193,14010996885,Fri Jan 08 00:00:00 CET 1988,M,Algérienne
1197,14010996887,Sun Aug 13 00:00:00 CEST 1989,F,Algérienne
1201,14010996890,Sat Nov 07 00:00:00 CET 1987,M,Algérienne
1205,14010996891,Mon Aug 06 00:00:00 CEST 1990,M,Algérienne
1209,14011298678,Mon Mar 29 00:00:00 CEST 1993,M,Algérienne
1213,14010996893,Sun Jul 29 00:00:00 CEST 1990,M,Algérienne
1217,14011298679,Mon Aug 03 00:00:00 CEST 1992,M,Algérienne
1221,14011298680,Sun Jan 05 00:00:00 CET 1992,M,Algérienne
1225,14010996907,Sat Jan 19 00:00:00 CET 1991,F,Algérienne
1229,14011298682,Mon Sep 27 00:00:00 CET 1993,M,Algérienne
1233,14011298683,Wed May 05 00:00:00 CEST 1993,M,Algérienne
1237,14010996909,Sun Jul 26 00:00:00 CEST 1987,M,Algérienne
1241,14010996910,Sun Dec 03 00:00:00 CET 1989,M,Algérienne
1245,14010996911,Mon Feb 15 00:00:00 CET 1988,M,Algérienne
1249,14010996912,Thu Sep 13 00:00:00 CEST 1990,F,Algérienne
1253,14010996913,Tue May 31 00:00:00 CEST 1988,M,Algérienne
1257,14010996918,Wed Jan 03 00:00:00 CET 1990,F,Algérienne
1261,14011197863,Sun Jan 03 00:00:00 CET 1993,F,Algérienne
1265,14011298684,Sat Feb 01 00:00:00 CET 1992,M,Algérienne
1269,14010996919,Sun Dec 11 00:00:00 CET 1988,F,Algérienne
1273,14010996920,Tue Sep 26 00:00:00 CET 1989,M,Algérienne
1277,14010996922,Thu Jul 06 00:00:00 CEST 1989,M,Algérienne
1281,14010996926,Sun Oct 28 00:00:00 CET 1990,F,Algérienne
1285,14010996927,Tue Feb 13 00:00:00 CET 1990,F,Algérienne
1289,14010996928,Thu Dec 22 00:00:00 CET 1988,M,Algérienne
1293,14011298685,Sun Aug 22 00:00:00 CEST 1993,F,Algérienne
1297,14011298686,Tue Sep 13 00:00:00 CEST 1994,M,Algérienne
1301,14010996932,Sat Dec 23 00:00:00 CET 1989,M,Algérienne
1305,14011298687,Tue Jan 19 00:00:00 CET 1993,M,Algérienne
1309,14011298688,Tue Oct 27 00:00:00 CET 1992,M,Algérienne
1313,14011298689,Sun Oct 07 00:00:00 CET 1990,F,Algérienne
1317,14010996935,Tue Jan 02 00:00:00 CET 1990,F,Algérienne
1321,14010996936,Tue Sep 20 00:00:00 CEST 1988,F,Algérienne
1325,14011298690,Mon Dec 27 00:00:00 CET 1993,F,Algérienne
1329,14011097506,Sat Sep 20 00:00:00 CEST 1986,M,Algérienne
1333,14010996942,Tue Jan 22 00:00:00 CET 1985,M,Algérienne
1337,14010996944,Wed Apr 11 00:00:00 CEST 1990,F,Algérienne
1341,14010996945,Mon Feb 13 00:00:00 CET 1989,F,Algérienne
1345,14011599296,Fri Oct 13 00:00:00 CET 1989,F,Algérienne
1349,14010996949,Wed Jan 23 00:00:00 CET 1991,M,Algérienne
1353,14011298691,Sat Mar 20 00:00:00 CET 1993,F,Algérienne
1357,14010996951,Tue Oct 25 00:00:00 CET 1988,M,Algérienne
1361,14010996956,Thu Jan 01 00:00:00 CET 1987,M,Algérienne
1365,14011198519,Thu Sep 13 00:00:00 CEST 1990,M,Algérienne
1369,14010996958,Fri Nov 30 00:00:00 CET 1990,M,Algérienne
1373,14010996959,Thu Jan 01 00:00:00 CET 1987,M,Algérienne
1377,14011298692,Fri Jan 01 00:00:00 CET 1993,F,Algérienne
1381,14010996960,Sat Jul 07 00:00:00 CEST 1990,F,Algérienne
1385,14010996961,Tue Apr 23 00:00:00 CEST 1991,M,Algérienne
1389,14011298693,Wed Mar 10 00:00:00 CET 1993,M,Algérienne
1393,14010996965,Wed Dec 12 00:00:00 CET 1990,F,Algérienne
1397,14010996969,Mon Nov 18 00:00:00 CET 1991,F,Algérienne
1401,14011298694,Sun Dec 26 00:00:00 CET 1993,M,Algérienne
1405,14011298695,Sat Mar 26 00:00:00 CET 1994,M,Algérienne
1409,14010996974,Tue May 21 00:00:00 CEST 1991,F,Algérienne
1413,14011298696,Wed Mar 09 00:00:00 CET 1994,F,Algérienne
1417,14010996976,Thu Oct 08 00:00:00 CET 1987,M,Algérienne
1421,14010996978,Thu Nov 16 00:00:00 CET 1989,M,Algérienne
1425,14010996979,Wed Dec 20 00:00:00 CET 1989,M,Algérienne
1429,14011298697,Mon Feb 10 00:00:00 CET 1992,M,Algérienne
1433,14010996985,Sat Feb 11 00:00:00 CET 1989,F,Algérienne
1437,14010996986,Mon Sep 07 00:00:00 CEST 1987,F,Algérienne
1441,14010996987,Sat Mar 22 00:00:00 CET 1986,F,Algérienne
1445,14010996988,Thu Oct 09 00:00:00 CET 1986,M,Algérienne
1449,14010996989,Wed Oct 19 00:00:00 CET 1988,F,Algérienne
1453,14010996990,Sat Jun 16 00:00:00 CEST 1984,M,Algérienne
1457,14010996991,Thu Oct 27 00:00:00 CET 1988,F,Algérienne
1461,14010996992,Wed Sep 06 00:00:00 CEST 1989,F,Algérienne
1465,14010996993,Mon Mar 21 00:00:00 CET 1988,M,Algérienne
1469,14010996994,Sat Apr 16 00:00:00 CEST 1988,F,Algérienne
1473,14010996996,Sun Nov 13 00:00:00 CET 1988,M,Algérienne
1477,14011298698,Mon Aug 30 00:00:00 CEST 1993,F,Algérienne
1481,14010996997,Sat Aug 01 00:00:00 CEST 1987,F,Algérienne
1485,14010996999,Tue Jul 11 00:00:00 CEST 1989,F,Algérienne
1489,14010997000,Tue Nov 20 00:00:00 CET 1984,M,Algérienne
1493,14010997001,Mon Jun 05 00:00:00 CEST 1989,M,Algérienne
1497,14010997002,Thu Aug 04 00:00:00 CEST 1988,M,Algérienne
1501,14010997003,Fri May 09 00:00:00 CEST 1986,F,Algérienne
1505,14010997004,Sun Dec 25 00:00:00 CET 1983,M,Algérienne
1509,14010997006,Mon Apr 11 00:00:00 CEST 1988,M,Algérienne
1513,14010997007,Sun Sep 09 00:00:00 CEST 1984,M,Algérienne
1517,14010997009,Mon Jan 28 00:00:00 CET 1985,F,Algérienne
1521,14010997010,Wed Mar 04 00:00:00 CET 1987,M,Algérienne
1525,14010997011,Fri Feb 01 00:00:00 CET 1985,F,Algérienne
1529,14011298699,Sat May 14 00:00:00 CET 1977,M,Algérienne
1533,14011298700,Fri Mar 18 00:00:00 CET 1994,F,Algérienne
1537,14010997013,Sat Apr 08 00:00:00 CEST 1989,F,Algérienne
1541,14010997014,Tue Sep 15 00:00:00 CEST 1987,M,Algérienne
1545,14010997015,Mon Feb 16 00:00:00 CET 1987,M,Algérienne
1549,14010997016,Sun Oct 04 00:00:00 CET 1987,M,Algérienne
1553,14010997018,Fri Nov 06 00:00:00 CET 1987,F,Algérienne
1557,14010997020,Tue Oct 10 00:00:00 CET 1989,M,TOGOLAISE
1561,14010997022,Tue Apr 21 00:00:00 CEST 1987,M,BORKINABIENNE
1565,14010997023,Tue Nov 21 00:00:00 CET 1989,M,Algérienne
1569,14010997024,Wed Mar 09 00:00:00 CET 1988,F,Algérienne
1573,14011298701,Sat Feb 01 00:00:00 CET 1992,M,Algérienne
1577,14010997025,Sat Feb 08 00:00:00 CET 1986,M,Algérienne
1581,14010997027,Mon Oct 22 00:00:00 CET 1984,M,Algérienne
1585,14010997029,Sat Mar 24 00:00:00 CET 1990,M,Algérienne
1589,14011298702,Thu Aug 26 00:00:00 CEST 1993,F,Algérienne
1593,14011298703,Sun Feb 13 00:00:00 CET 1994,F,Algérienne
1597,14010997030,Mon Apr 28 00:00:00 CEST 1986,M,Algérienne
