"N°Ins","Année","AnnéeUniv","Réf_Cours","Cours","Coef","Moy_Module","Moy_Gle","Observation","Université_Origine","Faculté_Origine","Département_Origine","Cycle_Origine","Fillière_Origine","credit_matière","Code_UE","credit_UE","Aquit","An_d_obtent","Faculté_OrigineAr","Département_OrigineAr","Fillière_OrigineAr","Université_OrigineAr","Cycle_OrigineAr"
"14011097102","1","2015","ARPS","Admin Réseaux & Prog Sys","1.2","9.20","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TRX","9","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","RSF","Réseaux sans fil","1.2","11.40","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3","TRX","9","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","DSE","Simulation à évènement discret","1.4","10.00","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3.5","REOP","9.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","AGRO","App des Graphes à la Rech Opér","1","11.00","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","2.5","REOP","9.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","APN","Anlgais Premier Niveau","1","16.25","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","2.5","ANG","2.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","OROP","Optimisation en Rech Oper","1.4","8.60","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","REOP","9.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","WEBS","Web Services","1.4","10.00","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3.5","ALOG","9","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","LIA","Logique P/ Intéligence Artific","1.25","7.50","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","LCO","6.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","MFO","Méthodes Formelles et OV ","1.25","11.40","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","3","MVS","9","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","MOM","Méthodes et outils de Modélisa","1.5","8.45","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","MVS","9","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","APRC","Approches par Composants","1.2","8.88","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","ALOG","9","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","BDA","Base de Données Avancées","1","10.00","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","2.5","ALOG","9","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","ANGP","Anglais Premier Niveau","1","15.00","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","2.5","UTE","2.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","TINT","Technologie de l Internet","1.8","8.84","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TECRX","13","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","TRXO","Technologie des RX opérateurs","1.8","11.30","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","4.5","TECRX","13","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","MMT","Modèle Math et Trait Signale","1.6","9.00","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TECRX","13","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","ORO","Optimisation en recherche Opér","1.5","7.45","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","ROP","9.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","TFM","Télécom Fixes et  Mobiles","2.6","9.60","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TCE","11.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","RET","Réseaux et Télécoms","1","13.95","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","2.5","MVS","9","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","SBC","Sytème à Base de Connaissances","1","11.50","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","3","LCO","6.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","SED","Simulation à évenement discret","1.5","8.80","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","ROP","9.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","SEW","Sécurité Web","1","7.50","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","BSE","2.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","ANGn2","Anglais niveau 2","1","18.00","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","2.5","ANG2","2.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","VART","Vision Artificielle","1.8","11.65","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","4.5","VTIM","13","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","MMT","Modèle Math et Trait Signale","1.6","12.50","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","4","VTIM","13","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","TCT","Technique et Techn de Transmis","2","7.75","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TCE","11.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","TCIP","Technoligie IP","1.2","12.40","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3","EDP","3","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","AGL2","Anglais Niveau 2","1","15.75","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","2.5","UET","2.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","TFM","Télécom Fixes et  Mobiles","2.6","10.85","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","6.5","TCE","11.5","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","TCT","Technique et Techn de Transmis","2","13.60","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","5","TCE","11.5","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","TCIP","Technoligie IP","1.2","13.80","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3","EDP","3","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14010796647","1","2012","AGL2","Anglais Niveau 2","1","18.00","","Ajourné","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","2.5","UET","2.5","True","2013","كلية العلوم و التكنولوجيا و علوم المادة","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","APC","Architecture parallele et Clus","1.2","5.50","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","HWR","3","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","EW","Ergonomie web","1","8.00","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","TWB","11.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","OWS","Ontologies et web sémantique","1.8","13.20","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","4.5","TWB","11.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011097102","1","2015","RLE","Réseaux Locaux et équipements","1.2","6.55","","Admis/Dettes","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TRX","9","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","GL","Génie Logiciel","1","10.30","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","5","UEF1","10","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","CA","Compléxité Algorithmique","1","10.80","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","5","UEF1","10","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","COSI","Conception Objet d un S.I","1","9.00","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","0","UEF2","12","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","SMA","Systèmes Multi Agents","1","10.60","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","4","UEF2","12","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","OIN","Outils de l Internet","1","11.30","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","4","UEF2","12","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","LOIA","Logique pour L I.A","1","11.20","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","3","UED1","6","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","SEVD","Simmulation a event Discret","1","7.20","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","0","UED1","6","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011197808","1","2015","ARPS","Admin Réseaux & Prog Sys","1.2","6.40","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","TRX","9","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011197808","1","2015","RSF","Réseaux sans fil","1.2","13.55","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3","TRX","9","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011197808","1","2015","DSE","Simulation à évènement discret","1.4","13.60","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","3.5","REOP","9.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","WS","Web services","1.8","12.80","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","4.5","TWB","11.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","MMTS","Modèle Mathématique du TS","1","10.15","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","4","VTI","13","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","TAM","Traitement et Analyse des Imag","1.8","9.05","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","VTI","13","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011599307","1","2015","VA","Vision Artificielle ","1.8","5.60","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","VTI","13","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","ANG1","Anglais 1","1","17.25","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","2","UET1","2","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","SCL","Spécification Concep Logiciel","1","10.40","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","5","UEF1.","10","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","ARCDL","Architecture et Dév Logiciel","1","10.85","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","5","UEF1.","10","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","IHIA","IHM .IA App aux Problèmes Indu","3","9.20","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","0","UEF2.","10","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","PRGW","Programmation Web","3","10.90","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","3","UEF2.","10","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","I.A","Intéligence Artificielle","4","9.20","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","0","UEF2.","10","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","BDDA","Bases de Données Avancées","1","10.00","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","4","UEF3","8","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","XMLW","XML et Web 2.0","1","8.05","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","0","UEF3","8","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097152","1","2015","ANG2.","Anglais 2","1","15.50","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Génie Logiciel","2","UET1.","2","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","ماستر هندسة البرامج","جامعة إبن خلدون بتيارت","Master"
"14011097177","1","2015","AGR","Application Graphes à la RO","1","13.00","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","2.5","ROP","9.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011097177","1","2015","APN","Anlgais Premier Niveau","1","20.00","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","2.5","ANG","2.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011097177","1","2015","LIA","Logique P/ Intéligence Artific","1.25","11.80","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","3.5","LCO","6.5","True","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011197808","1","2015","AGRO","App des Graphes à la Rech Opér","1","7.50","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","REOP","9.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011097300","1","2015","AGR","Application Graphes à la RO","1","7.50","","Admis/Session1","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","SITW","0","ROP","9.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","SITW","جامعة إبن خلدون بتيارت","Master"
"14011197808","1","2015","OROP","Optimisation en Rech Oper","1.4","6.80","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","REOP","9.5","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
"14011197808","1","2015","WEBS","Web Services","1.4","9.45","","Admis/Session2","Université Ibn Khaldoun  Tiaret","des Mathématiques et de l informatique","Informatique","Master","Master Réseau & Télécoms","0","ALOG","9","False","2015","كلية  الرياضيات و الإعلام الآلي","الإعلام الآلي","Master Réseau & Télécoms","جامعة إبن خلدون بتيارت","Master"
